,track_name,track_id,artist_name,artist_id
0,All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],7076626,Taylor Swift,1177
1,All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],7394358,Taylor Swift,1177
2,cardigan,5793984,Taylor Swift,1177
3,exile,5793983,Taylor Swift,1177
4,Lover,4508914,Taylor Swift,1177
5,the 1,5794073,Taylor Swift,1177
6,Is It Over Now? (Taylor’s Version) [From The Vault],9538404,Taylor Swift,1177
7,august,5793977,Taylor Swift,1177
8,Cruel Summer,4712978,Taylor Swift,1177
9,Look What You Made Me Do,3210592,Taylor Swift,1177
10,betty,5793962,Taylor Swift,1177
11,champagne problems,6260160,Taylor Swift,1177
12,Anti-Hero,8434253,Taylor Swift,1177
13,tolerate it,6260164,Taylor Swift,1177
14,Style,542390,Taylor Swift,1177
15,Blank Space,542389,Taylor Swift,1177
16,You’re Losing Me (From The Vault),9157489,Taylor Swift,1177
17,my tears ricochet,5793982,Taylor Swift,1177
18,End Game,3281773,Taylor Swift,1177
19,“Slut!” (Taylor’s Version) [From The Vault],9539416,Taylor Swift,1177
20,...Ready for It?,3221550,Taylor Swift,1177
21,You Need To Calm Down,4625737,Taylor Swift,1177
22,willow,6260155,Taylor Swift,1177
23,ME!,4472545,Taylor Swift,1177
24,invisible string,5793972,Taylor Swift,1177
25,"You’re On Your Own, Kid",8485908,Taylor Swift,1177
26,Maroon,8485907,Taylor Swift,1177
27,All Too Well,102701,Taylor Swift,1177
28,seven,5793979,Taylor Swift,1177
29,the last great american dynasty,5793985,Taylor Swift,1177
30,We Are Never Ever Getting Back Together,84880,Taylor Swift,1177
31,Now That We Don’t Talk (Taylor’s Version) [From The Vault],9666585,Taylor Swift,1177
32,Love Story,98867,Taylor Swift,1177
33,illicit affairs,5793974,Taylor Swift,1177
34,this is me trying,5793975,Taylor Swift,1177
35,happiness,6260166,Taylor Swift,1177
36,Karma,8485918,Taylor Swift,1177
37,Delicate,3283025,Taylor Swift,1177
