track_name,track_id,artist_name,artist_id
Love Me Harder,501510,Ariana Grande & The Weeknd,1800285
motive,6094312,Ariana Grande & Doja Cat,2840691
off the table,6094688,Ariana Grande & The Weeknd,1800285
nasty,5384917,Ariana Grande,26507
Moonlight,2016410,Ariana Grande,26507
Focus,2275721,Ariana Grande,26507
safety net,6094320,Ariana Grande,26507
just like magic,6094315,Ariana Grande,26507
Everyday,2457497,Ariana Grande,26507
Be Alright,2410762,Ariana Grande,26507
Santa Tell Me,590331,Ariana Grande,26507
my hair,5975363,Ariana Grande,26507
eternal sunshine,9990966,Ariana Grande,26507
Almost Is Never Enough,203953,Ariana Grande & Nathan Sykes,2190053
raindrops (an angel cried),3690802,Ariana Grande,26507
successful,3681281,Ariana Grande,26507
shut up,6094306,Ariana Grande,26507
love language,6094309,Ariana Grande,26507
obvious,6094317,Ariana Grande,26507
six thirty,6094689,Ariana Grande,26507
Break Free,468078,Ariana Grande,26507
Best Mistake,472285,Ariana Grande,26507
the boy is mine,10105323,Ariana Grande,26507
My Everything,407574,Ariana Grande,26507
Beauty and the Beast,2953249,Ariana Grande & John Legend,1859644
don’t wanna break up again,10068487,Ariana Grande,26507
Touch It,2457506,Ariana Grande,26507
west side,6094310,Ariana Grande,26507
i wish i hated you,10068488,Ariana Grande,26507
supernatural,10029452,Ariana Grande,26507
Sometimes,2457503,Ariana Grande,26507
Greedy,2457502,Ariana Grande,26507
imperfect for you,10105273,Ariana Grande,26507
Honeymoon Avenue,119682,Ariana Grande,26507
borderline,3681288,Ariana Grande,26507
Rap God,235729,Eminem,45
Lose Yourself,207,Eminem,45
Killshot,3958196,Eminem,45
Godzilla,5180439,Eminem,45
The Real Slim Shady,531,Eminem,45
Without Me,811,Eminem,45
Stan,772,Eminem,45
Mockingbird,1797,Eminem,45
The Monster,235732,Eminem,45
Lucky You,3930558,Eminem,45
The Ringer,3930546,Eminem,45
Venom,3930594,Eminem,45
’Till I Collapse,440,Eminem,45
Superman,564,Eminem,45
River,3350680,Eminem,45
Not Alike,3930563,Eminem,45
Berzerk,210094,Eminem,45
Fall,3930586,Eminem,45
8 Mile: B-Rabbit vs Papa Doc,49065,Eminem,45
Forever,147,"Drake, Kanye West, Lil Wayne & Eminem",1487427
Love the Way You Lie,532,Eminem,45
Kamikaze,3930564,Eminem,45
Cleanin’ Out My Closet,873,Eminem,45
Walk on Water,3309339,Eminem,45
Bad Guy,235723,Eminem,45
Beautiful,545,Eminem,45
Not Afraid,463,Eminem,45
When I’m Gone,1239,Eminem,45
The Way I Am,1197,Eminem,45
No Love,530,Eminem,45
My Name Is,68,Eminem,45
Headlights,235735,Eminem,45
Survival,204622,Eminem,45
Like Toy Soldiers,735,Eminem,45
Sing for the Moment,1010,Eminem,45
Greatest,3930555,Eminem,45
Love Game,249719,Eminem,45
Space Bound,561,Eminem,45
Unaccommodating,5180464,Eminem,45
Legacy,235727,Eminem,45
Kim,1401,Eminem,45
Marshall Mathers,282,Eminem,45
Gnat,6285862,Eminem,45
Kill You,773,Eminem,45
Criminal,554,Eminem,45
Guts Over Fear,505111,Eminem,45
Shake That,2011,Eminem,45
White America,1931,Eminem,45
I’m Back,913,Eminem,45
Darkness,5180442,Eminem,45
Believe,3350675,Eminem,45
Evil Twin,235736,Eminem,45
Stronger Than I Was,235731,Eminem,45
Detroit vs. Everybody,576535,Eminem,45
Untouchable,3350682,Eminem,45
8 Mile,914,Eminem,45
You Gon’ Learn,5180465,Eminem,45
Just Don’t Give a Fuck,866,Eminem,45
Role Model,198,Eminem,45
Beautiful Pain,239834,Eminem,45
So Much Better,235726,Eminem,45
FACK,2053,Eminem,45
Ass Like That,958,Eminem,45
Guilty Conscience,1370,Eminem,45
Rhyme or Reason,235725,Eminem,45
Chloraseptic (Remix),3420343,Eminem,45
Stepping Stone,3930565,Eminem,45
Zeus,6286338,Eminem,45
Hailie’s Song,1202,Eminem,45
Infinite,535,Eminem,45
Campaign Speech,2886480,Eminem,45
The Hills (Eminem Remix),2327062,The Weeknd,2358
Kings Never Die,2153464,Eminem,45
Just Lose It,1171,Eminem,45
Business,921,Eminem,45
Premonition (Intro),5180476,Eminem,45
Wicked Ways,239836,Eminem,45
Good Guy,3930557,Eminem,45
Asshole,235728,Eminem,45
The Warning,1418,Eminem,45
rockstar,2942139,Post Malone,326362
White Iverson,698675,Post Malone,326362
Congratulations,2865735,Post Malone,326362
Psycho,2961138,Post Malone,326362
Sunflower,3993850,Post Malone & Swae Lee,1609233
I Fall Apart,2900237,Post Malone,326362
Circles,4759464,Post Malone,326362
Better Now,3646568,Post Malone,326362
Wow.,4179509,Post Malone,326362
Stay,3627785,Post Malone,326362
Go Flex,1868520,Post Malone,326362
Goodbyes,4387319,Post Malone,326362
Candy Paint,3007474,Post Malone,326362
Hollywood’s Bleeding,4839087,Post Malone,326362
Feeling Whitney,2900257,Post Malone,326362
Deja Vu,2823963,Post Malone,326362
Take What You Want,4839109,Post Malone,326362
Paranoid,3646558,Post Malone,326362
Over Now,3646564,Post Malone,326362
Too Young,1404635,Post Malone,326362
No Option,2900225,Post Malone,326362
Die For Me,4839107,Post Malone,326362
Rich & Sad,3646570,Post Malone,326362
92 Explorer,3646561,Post Malone,326362
Saint-Tropez,4839340,Post Malone,326362
Ball For Me,3646571,Post Malone,326362
One Right Now,7351607,Post Malone & The Weeknd,2938464
Spoil My Night,3646569,Post Malone,326362
Otherside,3646562,Post Malone,326362
Feel,2900174,Post Malone,326362
Zack and Codeine,3646566,Post Malone,326362
A Thousand Bad Times,4839099,Post Malone,326362
Leave,2900246,Post Malone,326362
Same Bitches,3646559,Post Malone,326362
Sugar Wraith,3646565,Post Malone,326362
Motley Crew,6962915,Post Malone,326362
Enemies,4839342,Post Malone,326362
On the Road,4839108,Post Malone,326362
Blame It On Me,3646560,Post Malone,326362
Patient,2900241,Post Malone,326362
Takin’ Shots,3646563,Post Malone,326362
Broken Whiskey Glass,2900254,Post Malone,326362
Staring at the Sun,4839111,Post Malone,326362
Big Lie,2900234,Post Malone,326362
I Like You (A Happier Song),7933156,Post Malone,326362
Allergic,4839337,Post Malone,326362
Chemical,9006590,Post Malone,326362
"Yours Truly, Austin Post",2900250,Post Malone,326362
I’m Gonna Be,4839110,Post Malone,326362
Internet,3960537,Post Malone,326362
Cold,2900179,Post Malone,326362
Money Made Me Do It,2472219,Post Malone,326362
Up There,2900230,Post Malone,326362
Fuck,2472138,Post Malone,326362
Reputation,7983095,Post Malone,326362
Myself,4839333,Post Malone,326362
Cooped Up,7933125,Post Malone,326362
What’s Up,1892993,Post Malone,326362
I Know,4839100,Post Malone,326362
Lonely,2472267,Post Malone,326362
Hit This Hard,2900253,Post Malone,326362
Lemon Tree,7933276,Post Malone,326362
LEVII’S JEANS,10212107,Beyoncé & Post Malone,3894899
Jonestown (Interlude),3646567,Post Malone,326362
Wow. (Remix),4320153,Post Malone,326362
Hollywood Dreams / Come Down,2472448,Post Malone,326362
Love/Hate Letter To Alcohol,7933128,Post Malone,326362
Post Malone - Better Now (Traducción al Español),3688052,Genius Traducciones al Español,1376254
TEAR$,722202,Post Malone,326362
Post Malone,4575728,Sam Feldt,342857
Overdrive,9316732,Post Malone,326362
Wrapped Around Your Finger,7933166,Post Malone,326362
rockstar (Remix),3354521,Post Malone,326362
Mourning,9123773,Post Malone,326362
Post Malone - rockstar ft. 21 Savage (Türkçe Çeviri),3255733,Genius Türkçe Çeviri,569121
No Reason (Version 1),3133700,Post Malone,326362
Wasting Angels,7933129,Post Malone,326362
Never Understand,2472429,Post Malone,326362
Monta,2472228,Post Malone,326362
Something Real,9156097,Post Malone,326362
Mercy,70324,Kanye West,72
Niggas in Paris,51899,JAY-Z & Kanye West,652275
Monster,1149,Kanye West,72
"Father Stretch My Hands, Pt. 1",2412669,Kanye West,72
Ultralight Beam,2413549,Kanye West,72
Bound 2,158615,Kanye West,72
Clique,87225,"Kanye West, JAY-Z & Big Sean",1950873
I Love It,3944360,Lil Pump & Kanye West,1572772
No Church in the Wild,52020,JAY-Z & Kanye West,652275
New Slaves,152640,Kanye West,72
Runaway,1295,Kanye West,72
Blood On the Leaves,167180,Kanye West,72
Black Skinhead,152933,Kanye West,72
Forever,147,"Drake, Kanye West, Lil Wayne & Eminem",1487427
No More Parties in LA,2403856,Kanye West,72
Famous,2412662,Kanye West,72
POWER,510,Kanye West,72
Ghost Town,3756523,Kanye West,72
All Mine,3720959,Kanye West,72
Don’t Like.1,72024,"Kanye West, Chief Keef, Pusha T, Big Sean & Jadakiss",1950932
Wolves,2421668,Kanye West,72
Gold Digger,1267,Kanye West,72
I Love Kanye,2422080,Kanye West,72
Real Friends,2403628,Kanye West,72
Off The Grid,6576850,Kanye West,72
Can’t Tell Me Nothing,848,Kanye West,72
Devil In a New Dress,1207,Kanye West,72
Gorgeous,1791,Kanye West,72
Saint Pablo,2428259,Kanye West,72
Pt. 2,2421998,Kanye West,72
Dark Fantasy,1660,Kanye West,72
Hold My Liquor,171397,Kanye West,72
FML,2421661,Kanye West,72
All of the Lights,1781,Kanye West,72
Waves,2412668,Kanye West,72
CARNIVAL,10035948,"¥$, Kanye West, Ty Dolla $ign & Rich The Kid",3859642
Lift Yourself,3680634,Kanye West,72
All Day,482233,Kanye West,72
Blame Game,1944,Kanye West,72
I Am a God,167267,Kanye West,72
So Appalled,1353,Kanye West,72
I’m In It,171400,Kanye West,72
Facts (Charlie Heat Version),2399676,Kanye West,72
Praise God,5780838,Kanye West,72
All Falls Down,86,Kanye West,72
Stronger,525,Kanye West,72
Hurricane,7021481,Kanye West & The Weeknd,2922696
Violent Crimes,3756527,Kanye West,72
FourFiveSeconds,690706,"Rihanna, Kanye West & Paul McCartney",1586713
Through the Wire,238,Kanye West,72
I Thought About Killing You,3756495,Kanye West,72
Only One,657936,Kanye West,72
Heartless,526,Kanye West,72
30 Hours,2421955,Kanye West,72
Flashing Lights,523,Kanye West,72
Yikes,3756535,Kanye West,72
Otis,52019,JAY-Z & Kanye West,652275
Jesus Walks,519,Kanye West,72
Homecoming,552,Kanye West,72
Gotta Have It,52022,JAY-Z & Kanye West,652275
Highlights,2412664,Kanye West,72
Jail,7033303,Kanye West,72
Fade,2307999,Kanye West,72
New God Flow.1,79864,"Kanye West, Pusha T & Ghostface Killah",1950881
Cold,70202,Kanye West & DJ Khaled,1950898
Good Morning,1428,Kanye West,72
Last Call,910,Kanye West,72
Wouldn’t Leave,3756507,Kanye West,72
On Sight,152626,Kanye West,72
Reborn,3720970,KIDS SEE GHOSTS,1464821
I Wonder,1557,Kanye West,72
Follow God,4904476,Kanye West,72
Closed on Sunday,4824672,Kanye West,72
Moon,7029975,Kanye West,72
Eazy,7575988,The Game & Kanye West,3022779
Guilt Trip,171407,Kanye West,72
Touch the Sky,681,Kanye West,72
Lost In the World,1656,Kanye West,72
Good Life,1043,Kanye West,72
Jesus Lord,7016908,Kanye West,72
lovely,3422526,Billie Eilish & Khalid,1444143
when the party’s over,3484874,Billie Eilish,615550
Happier Than Ever,6533253,Billie Eilish,615550
bad guy,4271772,Billie Eilish,615550
everything i wanted,5013279,Billie Eilish,615550
idontwannabeyouanymore,3143252,Billie Eilish,615550
bury a friend,4266880,Billie Eilish,615550
i love you,4186978,Billie Eilish,615550
Your Power,6749869,Billie Eilish,615550
wish you were gay,3256574,Billie Eilish,615550
No Time To Die,5173169,Billie Eilish,615550
ocean eyes,2403346,Billie Eilish,615550
Therefore I Am,6151003,Billie Eilish,615550
my future,5798642,Billie Eilish,615550
bellyache,3001600,Billie Eilish,615550
all the good girls go to hell,4186971,Billie Eilish,615550
xanny,4271764,Billie Eilish,615550
you should see me in a crown,3844633,Billie Eilish,615550
ilomilo,4271788,Billie Eilish,615550
COPYCAT,3143254,Billie Eilish,615550
listen before i go,3237820,Billie Eilish,615550
my strange addiction,4271787,Billie Eilish,615550
What Was I Made For?,9303875,Billie Eilish,615550
watch,3138202,Billie Eilish,615550
hostage,3143259,Billie Eilish,615550
my boy,3041924,Billie Eilish,615550
Six Feet Under,2800298,Billie Eilish,615550
Bored,3038886,Billie Eilish,615550
NDA,6749856,Billie Eilish,615550
8,4271785,Billie Eilish,615550
bitches broken hearts,3319759,Billie Eilish,615550
bad guy,4686805,Billie Eilish & Justin Bieber,1882687
come out and play,4105029,Billie Eilish,615550
Male Fantasy,6749870,Billie Eilish,615550
goodbye,4271789,Billie Eilish,615550
party favor,3143257,Billie Eilish,615550
Billie Bossa Nova,6749865,Billie Eilish,615550
6.18.18,3990793,Billie Eilish,615550
The 30th,8221062,Billie Eilish,615550
Oxytocin,6749815,Billie Eilish,615550
Halley’s Comet,6878434,Billie Eilish,615550
TV,8080976,Billie Eilish,615550
Getting Older,6878432,Billie Eilish,615550
Lost Cause,6749867,Billie Eilish,615550
BILLIE EILISH.,7755842,Armani White,12053
The End of the World,4390065,Billie Eilish,615550
Lo Vas A Olvidar,6367361,Billie Eilish & ROSALÍA,2556989
I Didn’t Change My Number,6878433,Billie Eilish,615550
ocean eyes (blackbear Remix),2394727,Billie Eilish,615550
WHEN I WAS OLDER,4213796,Billie Eilish,615550
GOLDWING,6749866,Billie Eilish,615550
Not My Responsibility,5336996,Billie Eilish,615550
&burn,3319054,Billie Eilish & Vince Staples,1800098
OverHeated,6878570,Billie Eilish,615550
Everybody Dies,6749859,Billie Eilish,615550
!!!!!!!,4271767,Billie Eilish,615550
ocean eyes (Astronomyy Remix),2382555,Billie Eilish,615550
Billie Eilish - bad guy (Türkçe Çeviri),4433162,Genius Türkçe Çeviri,569121
true blue,3143454,Billie Eilish,615550
Fingers Crossed,2855333,Billie Eilish,615550
sHE’s brOKen,2960971,Billie Eilish,615550
Billie Eilish - bad guy (Traducción al Español),4275352,Genius Traducciones al Español,1376254
hotline bling,3651622,Billie Eilish,615550
limbo*,3207681,Billie Eilish,615550
Billie Eilish - when the party’s over (Traducción al Español),4026402,Genius Traducciones al Español,1376254
Billie Eilish - everything i wanted (Türkçe Çeviri),5022841,Genius Türkçe Çeviri,569121
Billie Eilish - I love you (ترجمه فارسی),4432446,Genius Farsi Translations (ترجمه‌ی فارسی),1207399
Billie Eilish - everything i wanted (ترجمه ی فارسی),5022984,Genius Farsi Translations (ترجمه‌ی فارسی),1207399
Happier Than Ever (Edit),7169928,Billie Eilish,615550
Billie Eilish - Six Feet Under (ترجمه ی فارسی),4260718,Genius Farsi Translations (ترجمه‌ی فارسی),1207399
see-through,3207580,Billie Eilish,615550
another stupid song,3143255,Billie Eilish,615550
Billie Eilish & ROSALÍA - Lo Vas A Olvidar (English Translation),6405495,Genius English Translations,196943
Billie Eilish - Happier Than Ever (Traducción al Español),6746431,Genius Traducciones al Español,1376254
bad company,3846446,Billie Eilish,615550
Billie Eilish - What Was I Made For? (Traducción al Español),9313043,Genius Traducciones al Español,1376254
Billie Eilish - ilomilo (Türkçe Çeviri),4483035,Genius Türkçe Çeviri,569121
Billie Eilish - Happier Than Ever (Türkçe Çeviri),6746855,Genius Türkçe Çeviri,569121
because i’m in love with you*,4099614,Billie Eilish,615550
Bad (triple j Like A Version Cover),3508974,Billie Eilish,615550
SICKO MODE,3876994,Travis Scott,20185
goosebumps,2849767,Travis Scott,20185
BUTTERFLY EFFECT,3089187,Travis Scott,20185
HIGHEST IN THE ROOM,4497172,Travis Scott,20185
Antidote,2145913,Travis Scott,20185
STARGAZING,3648112,Travis Scott,20185
beibs in the trap,2849762,Travis Scott,20185
