movie,processed_movie,Associated Music Genres,track_genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
   Marvel Cinematic Universe,marvel cinematic universe,"alternative,pop,punk,jazz","alternative,pop,punk,jazz",0.55003025,0.6222736075,-7.584745,0.6515,0.06731747499999999,0.3241124370099999,0.04140793573749997,0.186397575,0.511918125,122.34911350000002
   Star Wars,star wars,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic",0.4996438769230769,0.6261743577153845,-8.617587769230768,0.6610769230769231,0.06274165384615384,0.29482755432076924,0.19096407796384612,0.19513202307692307,0.3863824046153846,125.01618523076922
   Harry Potter (franchise),harry potter,"alternative,pop,punk,jazz","alternative,pop,punk,jazz",0.55003025,0.6222736075,-7.584745,0.6515,0.06731747499999999,0.3241124370099999,0.04140793573749997,0.186397575,0.511918125,122.34911350000002
   The Lion King (1994),the lion king,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock",0.5046635181818181,0.47604979220909094,-10.985339636363635,0.7375454545454545,0.052528909090909064,0.4827313447318182,0.20502303751909093,0.1732946454545454,0.38238140545454546,118.50852954545456
   Shrek (Franchise),shrek,"acoustic,folk,ambient,new-age,alternative,world-music,rock","acoustic,folk,ambient,new-age,alternative,world-music,rock",0.4775052,0.4807036214714285,-11.108961571428571,0.7204285714285714,0.05013782857142855,0.4713670646985714,0.2308876053042857,0.18334377142857136,0.3642941657142857,118.07133828571429
   The Incredibles (Franchise),the incredibles,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic",0.4996438769230769,0.6261743577153845,-8.617587769230768,0.6610769230769231,0.06274165384615384,0.29482755432076924,0.19096407796384612,0.19513202307692307,0.3863824046153846,125.01618523076922
   Titanic (1997),titanic,"piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie",0.4995676470588234,0.5740272188411764,-9.486636647058825,0.6907058823529411,0.060905605882352915,0.36816820125235294,0.1854706184358823,0.1864485117647059,0.38833016235294116,122.90652611764708
   Aladdin (1992),aladdin,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun",0.5482156727272728,0.5012113209363637,-10.183824636363637,0.7269090909090908,0.06618020000000001,0.4484843231354546,0.15758259626363635,0.1768400636363636,0.44052096909090904,119.2959699090909
   Back to the Future (franchise),back to the future,"acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock",0.52804904,0.5199535450299999,-10.357131299999997,0.6779999999999999,0.05832367999999999,0.41630152330399994,0.212525659925,0.18265518599999994,0.3932044660000001,118.7776615
   Fight Club (1999),fight club,"grunge,industrial,psych-rock,jazz,punk","grunge,industrial,psych-rock,jazz,punk",0.49995700000000004,0.677833106,-7.7952676,0.6886,0.062876,0.24206680765799998,0.08785610669799995,0.20874034000000002,0.48717170000000004,124.79807980000001
